Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R004524,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Brewers Association of Maryland,11/01/20-10/31/21
R004610,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Education Affiliates/Fortis College,11/01/20-10/31/21
R004665,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Invest in Maryland Coalition,11/01/20-10/31/21
R005071,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Maximus,11/01/20-10/31/21
R008494,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Greenland Technologies Holding Corporation,10/08/21-10/31/21
R000556,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Cal Ripken Sr. Foundation,11/01/19-10/31/20
R009676,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Brewers Association of Maryland,11/01/21-10/31/22
R009745,"Bohle, Matt ",Rifkin Weiner Livingston LLC,H&R Block Management LLC,11/01/21-10/31/22
R009695,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Celebree School,11/01/21-10/31/22
R009702,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Education Affiliates/Fortis College,11/01/21-10/31/22
R009678,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Cal Ripken Sr. Foundation,11/01/21-10/31/22
R009741,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Fusion Health,11/01/21-10/31/22
R010642,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Blockchain.com,11/08/21-10/31/22
R009771,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Maryland Pawnbrokers Association,11/01/21-10/31/22
R011589,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Atlanticus Services Corporation,01/28/22-10/31/22
R011608,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Reed Group,02/01/22-10/31/22
R007646,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Fusion Capital Management, LLC",03/18/21-10/31/21
R014043,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R014128,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Maryland Wineries Association,11/01/22-10/31/23
R014157,"Bohle, Matt ",Rifkin Weiner Livingston LLC,UPMC Western Maryland,11/01/22-10/31/23
R016617,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"International Health, Racquet & Sportsclub Association",03/22/23-10/31/23
R014153,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Skyline Technology Solutions,11/01/22-10/31/23
R014158,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Washington Area New Automobile Dealers Association (WANADA),11/01/22-10/31/23
R014056,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Gaudenzia, Inc.",11/01/22-10/31/23
R014155,"Bohle, Matt ",Rifkin Weiner Livingston LLC,ThinkBig Networks LLC,11/01/22-10/31/23
R014140,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Mount Vernon Place Conservancy,11/01/22-10/31/23
R016806,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Story of Maryland, LLC",07/24/23-10/31/23
R023076,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Cable Telecommunications Association of Maryland, Delaware and D.C., Inc.",11/01/24-10/31/25
R023192,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.",11/01/24-10/31/25
R023156,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Children's National Health System,11/01/24-10/31/25
R023159,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Education Affiliates/Fortis College,11/01/24-10/31/25
R023157,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Colonial Pipeline Company,11/01/24-10/31/25
R023181,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Maryland Automobile Dealers Association,11/01/24-10/31/25
R023163,"Bohle, Matt ",Rifkin Weiner Livingston LLC,FedEx Corporation,11/01/24-10/31/25
R023198,"Bohle, Matt ",Rifkin Weiner Livingston LLC,ThinkBig Networks LLC,11/01/24-10/31/25
R023197,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Story of Maryland, LLC",11/01/24-10/31/25
R023187,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Meta Platforms, Inc.",11/01/24-10/31/25
R018410,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Education Affiliates/Fortis College,11/01/23-10/31/24
R018438,"Bohle, Matt ",Rifkin Weiner Livingston LLC,JMI Management LP,11/01/23-10/31/24
R018475,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Reed Group,11/01/23-10/31/24
R018408,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Curio Wellness,11/01/23-10/31/24
R024521,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Board of County Commissioners of Allegany County, MD",11/12/24-10/31/25
R018412,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Envirotest Systems Holdings Corp.,11/01/23-10/31/24
R018160,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Berkshire Hathaway Energy GT&S, LLC",11/01/23-10/31/24
R018425,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Google LLC and its Affiliates,11/01/23-10/31/24
R018156,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"America Works of Maryland, Inc.",11/01/23-10/31/24
R018421,"Bohle, Matt ",Rifkin Weiner Livingston LLC,"Gaudenzia, Inc.",11/01/23-10/31/24
R018483,"Bohle, Matt ",Rifkin Weiner Livingston LLC,UPMC Western Maryland,11/01/23-10/31/24
R018454,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Maximus,11/01/23-10/31/24
R025941,"Bohle, Matt ",Rifkin Weiner Livingston LLC,Maryland Academy of Pediatric Dentists,03/14/25-10/31/25
R007131,"Boles, Julia ",National Psoriasis Foundation,National Psoriasis Foundation,01/04/21-09/22/21
R021400,"Bomberg, Jared ",Google LLC and its Affiliates,Google LLC and its Affiliates,04/10/24-10/31/24
R022987,"Bomberg, Jared ",Google LLC and its Affiliates,Google LLC and its Affiliates,11/01/24-10/31/25
R021971,"Boos, Misty ",Wildlands Network,Wildlands Network,11/01/24-10/31/25
R006925,"Borowski, Mark ",BP America,BP America,12/17/20-10/31/21
R004073,"Borowski, Mark ",BP America,BP America,08/11/20-10/31/20
R002931,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore City Fraternal Order of Police Lodge 3,01/02/20-10/31/20
R002958,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Greater Baltimore Board of Realtors,01/02/20-10/31/20
R003718,"Boston, III, Frank D","Law Office of Frank D. Boston, III","BFI Waste Services, LLC",02/28/20-10/31/20
R007662,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Alert Incorporated,03/30/21-10/31/21
R007673,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Advantage Sentencing Alterative Programs, Inc.",03/30/21-10/31/21
R006660,"Boston, III, Frank D","Law Office of Frank D. Boston, III",American Web Loan,11/01/20-10/31/21
R006822,"Boston, III, Frank D","Law Office of Frank D. Boston, III",All Pro Vending Co.,12/10/20-10/31/21
R006823,"Boston, III, Frank D","Law Office of Frank D. Boston, III",CareFirst BlueCross BlueShield,12/10/20-10/31/21
R006825,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fair and Agricultural Society, Inc",12/10/20-10/31/21
R006829,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Electric Guard Dog c/o Frank D. Boston III,12/10/20-10/31/21
R006844,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tourism Coalition,12/10/20-10/31/21
R006847,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Commercial Finance Coalition,12/10/20-10/31/21
R006849,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Baltimore Retired Police Benevolent Association, Inc.",12/10/20-10/31/21
R011342,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Sports Betting Alliance,01/12/22-10/31/22
R011743,"Boston, III, Frank D","Law Office of Frank D. Boston, III","A Place for Mom, Inc",02/21/22-10/31/22
R010060,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Weller Development Company, LLC",01/13/22-10/31/22
R008470,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Clear Channel Outdoor, LLC and Affiliated Entities",01/12/22-10/31/22
R011740,"Boston, III, Frank D","Law Office of Frank D. Boston, III",DIRECTV,04/11/22-10/31/22
R010014,"Boston, III, Frank D","Law Office of Frank D. Boston, III","AWL II, Inc.",01/25/22-10/31/22
R012117,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Pressley Ridge,08/22/22-10/31/22
R010033,"Boston, III, Frank D","Law Office of Frank D. Boston, III",CareFirst BlueCross BlueShield,01/12/22-10/31/22
R006820,"Boston, III, Frank D","Law Office of Frank D. Boston, III","DraftKings, Inc.",12/10/20-10/31/21
R002967,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Sagamore Development Holdings LLC,01/02/20-10/31/20
R016054,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland Association for Justice, Inc.",01/06/23-10/31/23
R016083,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore Urban Revitalization LLC,01/17/23-10/31/23
R016070,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Crown Castle USA Inc.,01/17/23-10/31/23
R016026,"Boston, III, Frank D","Law Office of Frank D. Boston, III",All Pro Vending Co.,01/16/23-10/31/23
R002136,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Altria Client Services LLC and its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Company, LLC",11/01/19-10/31/20
R002686,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Vera Mobility dba American Traffic Solutions,12/23/19-10/31/20
R006842,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Association of Realtors,12/10/20-10/31/21
R019779,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Amazon.com Services, Inc c/o Frank D. Boston III, Attorney at Law",11/16/23-10/31/24
R019657,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Altria Client Services LLC and its Affiliates - Philip Morris USA Inc., John Middleton Co., U.S. Smokeless Tobacco Co., Helix Innovations LLC & NJOY, LLC",11/14/23-10/31/24
R020571,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland Association for Justice, Inc.",01/25/24-10/31/24
R020523,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Baltimore Retired Police Benevolent Association, Inc.",01/25/24-10/31/24
R020525,"Boston, III, Frank D","Law Office of Frank D. Boston, III","AWL II, Inc.",03/12/24-10/31/24
R021212,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Caring.com,02/28/24-10/31/24
R021498,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Fieldstone Properties I, LLC",06/05/24-10/31/24
R021272,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Warner Music Inc,02/29/24-10/31/24
R021492,"Boston, III, Frank D","Law Office of Frank D. Boston, III",ASUR,11/01/23-10/31/24
R010082,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Revenue-Based Finance Coalition,01/12/22-10/31/22
R025383,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Clear Channel Outdoor, LLC and Affiliated Entities",01/15/25-10/31/25
R025394,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Amazon.com Services, Inc c/o Frank D. Boston III, Attorney at Law",01/15/25-10/31/25
R025375,"Boston, III, Frank D","Law Office of Frank D. Boston, III",DIRECTV,01/15/25-10/31/25
R025400,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Hotel & Lodging Association,01/15/25-10/31/25
R025405,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Advantage Sentencing Alterative Programs, Inc.",01/15/25-10/31/25
R025578,"Boston, III, Frank D","Law Office of Frank D. Boston, III",CoinFlip,01/28/25-10/31/25
R002663,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Dish Network, LLC",01/02/20-10/31/20
R007978,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Back the Bible d/b/a Higher Dimensions Christian Center,09/04/21-10/31/21
R002936,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Elevator Industry Work Preservation Fund,01/02/20-10/31/20
R002938,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Kenny Law Group, LLC",01/02/20-10/31/20
R002940,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Weller Development Company, LLC",01/02/20-10/31/20
R002944,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Crown Castle USA Inc.,01/02/20-10/31/20
R002961,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Live Nation Entertainment, Inc.",01/07/20-10/31/20
R002964,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland State Fraternal Order of Police,01/07/20-10/31/20
R003514,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Berg Family Farm,02/03/20-10/31/20
R003841,"Boston, III, Frank D","Law Office of Frank D. Boston, III","A Place for Mom, Inc",04/20/20-10/31/20
R010064,"Boston, III, Frank D","Law Office of Frank D. Boston, III",National Rifle Association,01/12/22-10/31/22
R010002,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Amazon.com Services, Inc c/o Frank D. Boston III, Attorney at Law",01/12/22-10/31/22
R002955,"Boston, III, Frank D","Law Office of Frank D. Boston, III","FanDuel, Inc.",01/07/20-10/31/20
R016062,"Boston, III, Frank D","Law Office of Frank D. Boston, III",CareFirst BlueCross BlueShield,01/16/23-10/31/23
R016081,"Boston, III, Frank D","Law Office of Frank D. Boston, III","A Place for Mom, Inc",01/17/23-10/31/23
R016056,"Boston, III, Frank D","Law Office of Frank D. Boston, III","ADT, LLC dba ADT Security Services",01/16/23-10/31/23
R016082,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Crown MD Online Gaming LLC,01/17/23-10/31/23
R016028,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fair and Agricultural Society, Inc",01/16/23-10/31/23
R002962,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Association of Realtors,01/02/20-10/31/20
R019722,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fraternal Order of Police c/o Frank D. Boston III, Attorney at Law",11/15/23-10/31/24
R021469,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Copart,05/22/24-10/31/24
R020568,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore Urban Revitalization LLC,01/25/24-10/31/24
R020362,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Dish Network, LLC",12/14/23-10/31/24
R020514,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Clear Channel Outdoor, LLC and Affiliated Entities",01/25/24-10/31/24
R020510,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Modell Performing Arts Center at the Lyric,01/25/24-10/31/24
R020518,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Association of Realtors,01/25/24-10/31/24
R025388,"Boston, III, Frank D","Law Office of Frank D. Boston, III",AT&T,01/15/25-10/31/25
R025374,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Lenovo (thru KWR Acuity Strategies, LLC)",01/15/25-10/31/25
R020528,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Molson Coors Beverage Company USA LLC,01/25/24-10/31/24
R020512,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Revenue-Based Finance Coalition,01/25/24-10/31/24
R025404,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Dish Network, LLC",01/15/25-10/31/25
R025401,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Crown MD Online Gaming LLC,01/15/25-10/31/25
R025413,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Lowe’s Companies,01/15/25-10/31/25
R025827,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Association for Wildlife Conservation,02/24/25-10/31/25
R025411,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tourism Coalition,01/15/25-10/31/25
R002935,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore Urban Revitalization LLC,01/07/20-10/31/20
R002942,"Boston, III, Frank D","Law Office of Frank D. Boston, III",CareFirst BlueCross BlueShield,01/07/20-10/31/20
R003647,"Boston, III, Frank D","Law Office of Frank D. Boston, III",SBFA,02/24/20-10/31/20
R003687,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Mid-Atlantic Carwash Association,02/25/20-10/31/20
R003754,"Boston, III, Frank D","Law Office of Frank D. Boston, III",American Chemistry Council,03/03/20-10/31/20
R003762,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Commercial Finance Coalition,03/04/20-10/31/20
R007376,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tax Sales Participants Association,02/02/21-10/31/21
R007383,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore City Fraternal Order of Police Lodge 3,02/02/21-10/31/21
R007384,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fraternal Order of Police c/o Frank D. Boston III, Attorney at Law",02/02/21-10/31/21
R007755,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Abrams Development Group,05/06/21-10/31/21
R003933,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Bernstein Litowitz Berger & Grossmann,11/01/19-10/31/20
R003934,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Modell Performing Arts Center at the Lyric,11/01/19-10/31/20
R002665,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Electric Guard Dog,01/07/20-10/31/20
R006821,"Boston, III, Frank D","Law Office of Frank D. Boston, III",National Rifle Association,12/10/20-10/31/21
R006830,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Greater Baltimore Board of Realtors,12/10/20-10/31/21
R006832,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Kenny Law Group, LLC",12/10/20-10/31/21
R006854,"Boston, III, Frank D","Law Office of Frank D. Boston, III","iHeart Media, Inc., Clear Channel Outdoor and Affiliated Entities",12/10/20-10/31/21
R010077,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Dish Network, LLC",11/01/21-10/31/22
R011754,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Licensed Firearms Dealers Association,04/11/22-10/31/22
R010096,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Elevator Industry Work Preservation Fund,01/12/22-10/31/22
R010086,"Boston, III, Frank D","Law Office of Frank D. Boston, III","ADT, LLC dba ADT Security Services",01/12/22-10/31/22
R010074,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Modell Performing Arts Center at the Lyric,01/12/22-10/31/22
R010107,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Alert Incorporated,02/21/22-10/31/22
R002939,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland Association for Justice, Inc.",01/07/20-10/31/20
R010011,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland Association for Justice, LLC.",01/12/22-10/31/22
R002954,"Boston, III, Frank D","Law Office of Frank D. Boston, III","DraftKings, Inc.",01/07/20-10/31/20
R006837,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Sagamore Development Company, LLC",12/10/20-10/31/21
R002685,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Amazon.com Services, Inc.",01/02/20-10/31/20
R015934,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fraternal Order of Police c/o Frank D. Boston III, Attorney at Law",01/10/23-10/31/23
R016029,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Greater Baltimore Board of Realtors,01/16/23-10/31/23
R016023,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Caring.com,01/13/23-10/31/23
R016053,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tourism Coalition,01/16/23-10/31/23
R016055,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Modell Performing Arts Center at the Lyric,01/16/23-10/31/23
R016732,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Hotel & Lodging Association,05/31/23-10/31/23
R016027,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Live Nation Entertainment, Inc.",01/16/23-10/31/23
R019776,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore City Fraternal Order of Police Lodge 3,11/16/23-10/31/24
R019721,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Kenny Law Group, LLC",11/15/23-10/31/24
R020519,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Pressley Ridge,01/25/24-10/31/24
R020566,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fair and Agricultural Society, Inc",01/25/24-10/31/24
R020516,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Elevator Industry Work Preservation Fund,01/25/24-10/31/24
R020403,"Boston, III, Frank D","Law Office of Frank D. Boston, III","ADT, LLC dba ADT Security Services",12/18/23-10/31/24
R020082,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Crown MD Online Gaming LLC,11/29/23-10/31/24
R019726,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Hotel & Lodging Association,11/15/23-10/31/24
R020520,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Crown Castle USA Inc.,01/25/24-10/31/24
R020530,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Licensed Firearms Dealers Association,01/25/24-10/31/24
R019680,"Boston, III, Frank D","Law Office of Frank D. Boston, III","A1 Trusted Monitoring, LLC",11/15/23-10/31/24
R021380,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Smart Energy,04/02/24-10/31/24
R002966,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Molson Coors Beverage Company USA LLC,01/02/20-10/31/20
R006853,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Molson Coors Beverage Company USA LLC,12/10/20-10/31/21
R016061,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Revenue-Based Finance Coalition,01/16/23-10/31/23
R025381,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Modell Performing Arts Center at the Lyric,01/15/25-10/31/25
R025410,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Pressley Ridge,01/15/25-10/31/25
R025414,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Robinhood,01/15/25-10/31/25
R025397,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Adventist HealthCare, Inc.",01/15/25-10/31/25
R025412,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tax Sales Participants Association,01/15/25-10/31/25
R007650,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Enterprise RAC Company of Baltimore, LLC",03/30/21-10/31/21
R025396,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore's Promise Care of the Fund for Educational Excellence,01/15/25-10/31/25
R025457,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fraternal Order of Police c/o Frank D. Boston III, Attorney at Law",01/21/25-10/31/25
R021106,"Boston, III, Frank D","Law Office of Frank D. Boston, III","American Fintech Council, The",02/12/24-10/31/24
R008997,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Copart,10/22/21-10/31/21
R006811,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Dish Network, LLC",12/10/20-10/31/21
R006812,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Tekni-Plex,Inc., c/o Law Offices of Frank D. Boston III",12/10/20-10/31/21
R006831,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Berg Family Farm,12/10/20-10/31/21
R006836,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Green Leaf Medical, LLC",12/10/20-10/31/21
R006843,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Modell Performing Arts Center at the Lyric,12/10/20-10/31/21
R006845,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Amazon.com Services, Inc c/o Frank D. Boston III, Attorney at Law",12/10/20-10/31/21
R006852,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore Urban Revitalization LLC,12/10/20-10/31/21
R002657,"Boston, III, Frank D","Law Office of Frank D. Boston, III","ADT, LLC dba ADT Security Services",01/02/20-10/31/20
R002666,"Boston, III, Frank D","Law Office of Frank D. Boston, III",National Rifle Association,01/03/20-10/31/20
R002928,"Boston, III, Frank D","Law Office of Frank D. Boston, III",AT&T,01/07/20-10/31/20
R002965,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tourism Coalition,01/07/20-10/31/20
R002968,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fair and Agricultural Society, Inc",01/07/20-10/31/20
R010021,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Kenny Law Group, LLC",01/12/22-10/31/22
R010007,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Hotel & Lodging Association,11/02/21-10/31/22
R010118,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore City Fraternal Order of Police Lodge 3,01/12/22-10/31/22
R010019,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tourism Coalition,01/12/22-10/31/22
R011741,"Boston, III, Frank D","Law Office of Frank D. Boston, III","AMW Investments, Inc. d/b/a The Hustler Club",02/21/22-10/31/22
R010061,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore Urban Revitalization LLC,01/13/22-10/31/22
R012119,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Southeastrans, Inc.",08/22/22-10/31/22
R010109,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Crown Castle USA Inc.,01/12/22-10/31/22
R011458,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Garcia Laboratory,01/13/22-10/31/22
R011360,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Copart,01/12/22-10/31/22
R010001,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Greater Baltimore Board of Realtors,01/12/22-10/31/22
R010044,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Maryland State Fair and Agricultural Society, Inc",01/12/22-10/31/22
R010089,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Live Nation Entertainment, Inc.",01/12/22-10/31/22
R010049,"Boston, III, Frank D","Law Office of Frank D. Boston, III",All Pro Vending Co.,01/12/22-10/31/22
R002933,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Sagamore Development Company, LLC",01/07/20-10/31/20
R006857,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Sagamore Development Company, LLC",12/10/20-10/31/21
R015937,"Boston, III, Frank D","Law Office of Frank D. Boston, III",DIRECTV,01/10/23-10/31/23
R016058,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Licensed Firearms Dealers Association,01/16/23-10/31/23
R016064,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Clear Channel Outdoor, LLC and Affiliated Entities",01/16/23-10/31/23
R016057,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Elevator Industry Work Preservation Fund,01/16/23-10/31/23
R015935,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Dish Network, LLC",01/10/23-10/31/23
R015689,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Adventist HealthCare, Inc.",12/09/22-10/31/23
R016071,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore City Fraternal Order of Police Lodge 3,01/17/23-10/31/23
R016018,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Maryland Tax Sales Participants Association,01/16/23-10/31/23
R009997,"Boston, III, Frank D","Law Office of Frank D. Boston, III","Altria Client Services LLC and its Affiliates - Philip Morris USA Inc., John Middleton Co., and U.S. Smokeless Tobacco Company Co., and Helix Innvovations LLC",11/01/21-10/31/22
R015690,"Boston, III, Frank D","Law Office of Frank D. Boston, III",Baltimore's Promise,12/09/22-10/31/23
